YY  MM DD hhmm     LAT      LON WDIR WSPD GST   PRES   ATMP  WTMP  DEWP  WVHT  DPD
2022 08 24 0130   25.89   -89.59 114  3.9  4.8 1012.6   29.7  30.3  25.2   0.5    6
2022 08 24 0230   25.91   -89.58 105  3.9  4.4 1013.2   29.6  30.3  25.2   0.5    5
2022 08 24 0330   25.92   -89.57 124  4.3  5.0 1013.5   29.6  30.3  25.8   0.5    7
2022 08 24 0430   25.94   -89.56 125  5.0  5.8 1013.7   29.6  30.3  25.5   0.5    6
2022 08 24 0530   25.93   -89.57 114  5.7  6.2 1013.5   29.4  30.3  25.7   0.5    5
2022 08 24 0630   25.90   -89.58 114  5.0  5.9 1013.1   29.5  30.2  25.2   0.5    6
2022 08 24 0730   25.90   -89.58 146  5.2  5.8 1012.7   29.1  30.2  26.0   0.5    6
2022 08 24 0830   25.92   -89.58 124  4.5  5.2 1012.5   29.3  30.2  25.0   0.5    6
2022 08 24 0930   25.93   -89.57 132  4.6  5.1 1012.6   29.3  30.2  25.6   0.5    5
2022 08 24 1030   25.94   -89.56 132  4.7  5.5 1012.6   29.4  30.2  25.1   0.5    5
2022 08 24 1130   25.93   -89.57 128  5.4  6.0 1013.3   29.4  30.2  25.0   0.5    3
2022 08 24 1230   25.90   -89.59 130  5.9  6.7 1013.7   29.4  30.2  25.3   0.5    5
2022 08 24 1330   25.91   -89.58 152  5.9  6.6 1013.9   29.6  30.3  25.1   0.5    6
2022 08 24 1430   25.92   -89.57 140  5.3  5.9 1014.1   29.6  30.3  25.6   0.5    5
2022 08 24 1530   25.94   -89.56 159  4.8  5.5 1014.5   29.6  30.3  25.4   0.5    7
2022 08 24 1630   25.93   -89.58 155  5.4  6.0 1014.5   29.9  30.4  24.7   0.5    3
2022 08 24 1730   25.92   -89.59 178  3.6  4.1 1014.4   29.8  30.6  25.5   0.5    3
2022 08 24 1830   25.91   -89.60 177  4.3  4.9 1013.9   29.9  30.6  25.4   0.4    4
2022 08 24 1930   25.92   -89.59 165  4.4  4.8 1013.3   30.0  30.8  25.0   0.5    6
2022 08 24 2030   25.93   -89.58 160  3.5  3.9 1012.9   29.9  30.7  25.5   0.4    7
2022 08 24 2130   25.94   -89.57 156  2.6  3.1 1013.0   30.1  30.7  24.8   0.4    3
2022 08 24 2230   25.94   -89.56 156  2.4  2.7 1013.1   30.0  30.7  24.9   0.4    5
2022 08 24 2330   25.95   -89.55 145  2.9  3.6 1013.4   29.7  30.5  25.2   0.4    5
2022 08 25 0030   25.94   -89.56 128  2.2  2.5 1013.6   29.7  30.5  25.0   0.4    4
2022 08 25 0130   25.93   -89.59 132  3.4  3.7 1014.0   29.6  30.5  25.0   0.4    5
2022 08 25 0230   25.92   -89.62 126  2.8  3.3 1014.5   29.7  30.5  24.9   0.4    4
2022 08 25 0330   25.91   -89.63 139  5.1  5.6 1014.8   29.6  30.4  25.3   0.4    5
2022 08 25 0430   25.92   -89.61 151  5.8  6.6 1014.7   29.6  30.4  25.3   0.4    5
2022 08 25 0530   25.93   -89.59 154  5.0  5.7 1014.8   29.5  30.4  24.7   0.4    5
2022 08 25 0630   25.94   -89.58 141  4.4  5.2 1014.2   29.5  30.4  25.0   0.4    6
2022 08 25 0730   25.94   -89.57 162  5.2  5.7 1014.0   29.4  30.4  25.2   0.4    5
2022 08 25 0830   25.95   -89.56 181  3.6  4.1 1013.7   28.6  30.4  25.3   0.4    4
2022 08 25 0930   25.95   -89.56 172  3.6  4.3 1013.7   29.3  30.3  25.2   0.4    5
2022 08 25 1030   25.95   -89.55 156  3.0  3.6 1013.9   29.2  30.3  24.8   0.5    5
2022 08 25 1130   25.94   -89.57 164  3.0  3.6 1014.5   29.3  30.2  25.0   0.5    5
2022 08 25 1230   25.93   -89.60 167  3.1  3.6 1015.1   29.4  30.2  25.4   0.4    4
2022 08 25 1330   25.91   -89.63 188  2.9  3.3 1015.5   29.4  30.2  25.2   0.4    5
2022 08 25 1430   25.91   -89.62 179  4.4  4.8 1016.0   29.6  30.3  25.2   0.4    4
2022 08 25 1530   25.92   -89.61 180  4.6  5.1 1016.6   29.7  30.4  23.7   0.4    5
2022 08 25 1630   25.92   -89.60 186  4.0  4.5 1016.8   29.7  30.4  24.5   0.4    4
2022 08 25 1730   25.93   -89.59 176  4.3  5.1 1016.4   29.7  30.5  24.9   0.4    5
2022 08 25 1830   25.94   -89.58 196  4.3  4.9 1016.1   29.8  30.6  25.1   0.4    5
2022 08 25 1930   25.94   -89.57 197  4.0  4.6 1015.6   29.9  30.7  25.1   0.4    5
2022 08 25 2030   25.95   -89.56 195  4.3  4.8 1015.0   29.9  30.8  24.5   0.4    5
2022 08 25 2130   25.95   -89.55 219  2.5  3.0 1015.1   30.0  30.7  24.8   0.4    5
2022 08 25 2230   25.95   -89.55 242  2.2  2.4 1015.1   30.3  30.7  24.3   0.4    5
2022 08 25 2330   25.95   -89.55 243  2.1  2.4 1015.3   29.9  30.6  25.3   0.4    3
2022 08 26 0030   25.95   -89.56 267  2.0  2.2 1015.8   29.7  30.6  25.0   0.4    5
2022 08 26 0130   25.95   -89.56 268  0.6  0.9 1015.7   29.5  30.6  25.1   0.3    4
2022 08 26 0230   25.94   -89.57 103  1.7  2.1 1016.1   29.2  30.5  25.1   0.4    4
2022 08 26 0330   25.93   -89.58 106  1.7  2.0 1016.7   29.3  30.5  25.5   0.4    3
2022 08 26 0430   25.93   -89.59  85  2.5  3.0 1016.5   29.3  30.5  25.1   0.4    4
2022 08 26 0530   25.93   -89.60 139  3.0  3.4 1016.6   29.3  30.5  24.9   0.4    6
2022 08 26 0630   25.93   -89.59 131  5.0  5.5 1016.1   29.2  30.4  25.2   0.3    4
2022 08 26 0730   25.93   -89.58 135  4.7  5.4 1015.7   29.1  30.4  24.9   0.4    5
2022 08 26 0830   25.94   -89.58 134  3.8  4.1 1015.5   29.2  30.4  25.0   0.4    5
2022 08 26 0930   25.94   -89.58 159  3.2  3.6 1015.0   28.9  30.4  24.6   0.4    5
2022 08 26 1030   25.93   -89.58 170  3.1  3.5 1014.7   28.9  30.4  24.1   0.4    4
2022 08 26 1130   25.93   -89.59 152  2.0  2.4 1014.9   28.9  30.4  24.2   0.4    4
2022 08 26 1230   25.92   -89.60 167  1.6  2.4 1015.3   29.2  30.4  24.3   0.4    4
2022 08 26 1330   25.92   -89.61 154  2.7  3.1 1015.6   29.4  30.4  24.4   0.4    4
